mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
8.406946e-06,2.0009304e-06,9.737565e-06,0.00014217911,0.003182634,0.005984419,True
8.627218e-06,8.235416e-06,5.136895e-06,6.562805e-05,0.012794605,0.013067666,True
1.9476056e-06,2.9142186e-06,3.1511925e-06,4.333929e-05,0.0142135285,0.011685241,True
2.5337026e-06,2.0468865e-06,2.1747853e-06,3.692912e-05,0.009457666,0.0072539514,True
1.8180285e-06,1.1452516e-06,2.0917826e-06,3.8865895e-05,0.0060501834,0.010856749,True
1.8129288e-06,7.736232e-07,1.6062646e-06,3.335784e-05,0.0060558394,0.0060618576,True
1.9154515e-06,5.4352273e-07,1.9378942e-06,3.0312785e-05,0.00602086,0.0060450523,True
1.2863813e-06,6.139111e-07,1.2129029e-06,2.6809048e-05,0.0059966603,0.0059925322,True
3.243151e-06,2.2084057e-06,2.039684e-06,3.0003688e-05,0.0060224896,0.0060044783,True
1.5142729e-06,8.152724e-07,1.5001027e-06,3.113489e-05,0.0060988,0.0061172154,True
2.963571e-06,2.0150383e-06,2.0466973e-06,3.055983e-05,0.006058095,0.0060227383,True
2.3055852e-06,1.4938665e-06,1.877591e-06,2.8694374e-05,0.006058623,0.0060583386,True
1.1931226e-06,6.055984e-07,1.0244529e-06,2.919868e-05,0.0061235637,0.006117791,True
1.0756523e-06,5.846721e-07,8.197757e-07,3.107588e-05,0.0061951927,0.006207207,True
2.2889963e-06,2.9338876e-06,1.5356455e-06,2.986848e-05,0.0062207645,0.00626262,True
2.8389007e-07,1.9724652e-07,2.6336235e-07,3.3008073e-05,0.008296445,0.008090971,True
2.9742472e-07,2.0619177e-07,2.6939145e-07,3.1146086e-05,0.0060836077,0.006088635,True
2.9910345e-07,1.7055257e-07,2.5742162e-07,2.9797864e-05,0.0060869157,0.0060862275,True
3.5411864e-07,1.8673697e-07,3.2241562e-07,3.31777e-05,0.0060948334,0.0060832347,True
2.844466e-07,2.002509e-07,2.4918592e-07,2.798932e-05,0.006074443,0.0060752863,True
