pt_ms,pt_tf,ms_tf
8.538302e-06,7.0188107e-06,1.2943663e-05
6.2510444e-06,7.830969e-06,6.031099e-06
7.2833213e-06,4.509967e-06,7.0310775e-06
4.814057e-06,3.5795733e-06,4.619734e-06
6.1713563e-06,8.001735e-06,5.899639e-06
5.7570423e-06,4.65154e-06,5.384623e-06
6.297692e-06,7.916762e-06,5.871897e-06
7.15095e-06,5.279691e-06,5.758512e-06
0.00013097392,0.000117686184,7.361434e-05
0.00011564507,8.849321e-05,7.8579535e-05
0.00011935711,0.00010037726,7.8771925e-05
5.795988e-05,0.00017096142,0.00018077373
0.00013014156,9.605769e-05,8.7571716e-05
8.6469736e-05,0.00010256072,8.433619e-05
4.7004332e-07,3.1403553e-07,4.515788e-07
1.37573215e-05,1.397861e-05,1.1316969e-05
1.7888109e-06,1.6199447e-06,9.195163e-07
1.0281645e-06,6.186687e-07,6.2923544e-07
1.0442019e-06,6.8328194e-07,5.7986045e-07
5.7198445e-06,3.7982177e-06,3.8877592e-06
