layer_name,0,1,2,3,4,5,6,7,8,9
feature_map,3.61586e-07,3.685709e-07,9.918585e-07,5.3294934e-07,5.5134296e-07,3.935769e-06,1.0922085e-06,7.660128e-07,1.905486e-06,1.3581011e-06
feature_map.backbone,0.007844545,0.0041421875,0.0069344193,0.0056297258,0.0051488206,0.0081830025,0.002973348,0.00070459396,0.0031690523,0.004123144
feature_map.backbone.conv0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012773052,0.0015829913,0.0013868846,0.0008361675
feature_map.backbone.conv0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111311674,0.000109918416,0.00012694299,0.00021890551
feature_map.backbone.conv0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000111185014,0.00010982156,0.00012713671,0.0002187267
feature_map.backbone.conv0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0012773052,0.0015829913,0.0013868846,0.0008361675
feature_map.backbone.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.00085339136,0.0004953779,1.9451603e-05,0.00025550276
feature_map.backbone.conv1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017164275,0.00016058981,0.000105544925,0.0006054267
feature_map.backbone.conv1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00017164275,0.00016060472,0.000105537474,0.0006053783
feature_map.backbone.conv1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00085339136,0.0004953779,1.9451603e-05,0.00025550276
feature_map.backbone.layer1,0.0,0.0034785904,0.0010508597,0.0031417292,0.0017237943,0.0017699562,0.00165217,0.00024302304,0.00055062026,0.00165594
feature_map.backbone.layer1.0,0.0,0.0034785904,0.0010508597,0.0031417292,0.0017237943,0.0017699562,0.00165217,0.00024302304,0.00055062026,0.00165594
feature_map.backbone.layer1.0.conv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015289746,0.0013641082,3.5382807e-05,0.004087707
feature_map.backbone.layer1.0.conv1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006508045,0.00041745603,0.00019594282,0.0006874576
feature_map.backbone.layer1.0.conv1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0006508343,0.00041739643,0.00019594282,0.000687398
feature_map.backbone.layer1.0.conv1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0015289746,0.0013641082,3.5382807e-05,0.004087707
feature_map.backbone.layer1.0.conv2,0.0,0.005472592,0.0025480809,1.9017607e-06,0.0012289183,0.00053116493,9.30503e-05,0.00037474744,0.0028940402,0.0034419075
feature_map.backbone.layer1.0.conv2.0,0.0,0.0017827898,0.0018942878,0.0007415116,0.0014134776,0.0020722635,0.00070531666,0.0018099286,0.0049134716,0.006641574
feature_map.backbone.layer1.0.conv2.1,0.0,0.0017827526,0.0018942785,0.0007415153,0.0014134943,0.0020722412,0.0007053204,0.0018099621,0.004913412,0.0066415034
feature_map.backbone.layer1.0.conv2.2,0.0,0.005472592,0.0025480809,1.9017607e-06,0.0012289183,0.00053116493,9.30503e-05,0.00037474744,0.0028940402,0.0034419075
feature_map.backbone.conv2,0.0,0.0001943931,3.0994415e-05,0.0012206929,0.00041586533,0.00025907718,0.00012251269,0.00028959848,0.0007338729,0.0029194811
feature_map.backbone.conv2.0,0.0,7.1251765e-05,0.0006659329,0.0010327026,2.5063753e-05,0.0005523581,3.244728e-05,7.390231e-05,0.0007259045,0.003966555
feature_map.backbone.conv2.1,0.0,7.111207e-05,0.0006657578,0.0010325555,2.492778e-05,0.0005524922,3.230013e-05,7.40774e-05,0.00072576106,0.0039667077
feature_map.backbone.conv2.2,0.0,0.0001943931,3.0994415e-05,0.0012206929,0.00041586533,0.00025907718,0.00012251269,0.00028959848,0.0007338729,0.0029194811
feature_map.backbone.layer2,0.0,0.00035895966,0.0017420165,0.000753751,0.0014326014,0.0030214433,0.0020988733,0.0018407665,0.0023701712,0.0027760118
feature_map.backbone.layer2.0,0.0,0.00063713826,0.0011718832,0.001926234,0.0006320588,0.0023408365,0.0014135484,0.00028310716,0.00079316273,0.0026613697
feature_map.backbone.layer2.0.conv1,0.0,0.00041575544,0.00012826547,0.00036894716,0.00046553463,0.0004085526,0.0010404233,1.5651807e-05,0.00088074803,0.0008526668
feature_map.backbone.layer2.0.conv1.0,0.0,0.00016530603,0.00038579106,0.0009960309,0.0005465597,0.0005418435,0.0005560182,0.0005598217,0.00012950227,0.0005280115
feature_map.backbone.layer2.0.conv1.1,0.0,0.00016529113,0.0003857687,0.0009960346,0.00054654106,0.00054183975,0.00055599585,0.0005598366,0.00012948364,0.0005280003
feature_map.backbone.layer2.0.conv1.2,0.0,0.00041575544,0.00012826547,0.00036894716,0.00046553463,0.0004085526,0.0010404233,1.5651807e-05,0.00088074803,0.0008526668
feature_map.backbone.layer2.0.conv2,0.0,0.00021065306,0.001325706,0.00026835594,0.0012031831,0.0023362553,0.0023396602,0.00037618913,0.0009335382,0.0007372834
feature_map.backbone.layer2.0.conv2.0,0.0,0.00023847446,0.00020815805,0.00028635561,0.00025450438,0.00045899116,0.000535341,0.0003021434,0.00072194263,0.00016454235
feature_map.backbone.layer2.0.conv2.1,0.0,0.00023846328,0.00020815246,0.00028635375,0.00025450625,0.00045901723,0.00053534657,0.00030212477,0.00072192773,0.00016455166
feature_map.backbone.layer2.0.conv2.2,0.0,0.00021065306,0.001325706,0.00026835594,0.0012031831,0.0023362553,0.0023396602,0.00037618913,0.0009335382,0.0007372834
feature_map.backbone.layer2.1,0.0,0.00035895966,0.0017420165,0.000753751,0.0014326014,0.0030214433,0.0020988733,0.0018407665,0.0023701712,0.0027760118
feature_map.backbone.layer2.1.conv1,0.0,0.0036164299,0.00393009,0.0073174126,0.0010424852,0.0008914042,0.0003736429,0.005589608,0.0064285565,0.0029624254
feature_map.backbone.layer2.1.conv1.0,0.0,3.362447e-05,0.001626201,0.00032573938,0.00033460185,5.0112605e-05,0.0022936463,0.0004120618,0.00037302077,0.0017932728
feature_map.backbone.layer2.1.conv1.1,0.0,3.362447e-05,0.0016261861,0.00032571703,0.00033458695,5.010888e-05,0.0022936538,0.00041204318,0.00037300587,0.0017932728
feature_map.backbone.layer2.1.conv1.2,0.0,0.0036164299,0.00393009,0.0073174126,0.0010424852,0.0008914042,0.0003736429,0.005589608,0.0064285565,0.0029624254
feature_map.backbone.layer2.1.conv2,0.0,0.001042502,0.0007307343,0.00028663687,0.0014263662,6.405078e-05,0.001113411,0.0016947323,0.0018041953,0.001595757
feature_map.backbone.layer2.1.conv2.0,0.0,0.0011106059,0.00052103214,0.0019598268,0.00019130856,0.0002724547,0.0016597323,0.0012145229,0.0039453655,0.00233127
feature_map.backbone.layer2.1.conv2.1,0.0,0.0011105984,0.0005210284,0.0019598138,0.00019131042,0.00027246587,0.0016597211,0.0012145136,0.0039453525,0.0023312494
feature_map.backbone.layer2.1.conv2.2,0.0,0.001042502,0.0007307343,0.00028663687,0.0014263662,6.405078e-05,0.001113411,0.0016947323,0.0018041953,0.001595757
feature_map.backbone.conv3,0.0,0.0007221,0.00030750968,0.00012214575,0.0007119654,5.2075833e-05,0.00054709706,4.6991743e-05,0.00078851543,2.6053749e-05
feature_map.backbone.conv3.0,0.0,0.0022709873,0.0007332172,0.00042385794,0.000959361,0.0002252087,0.0009904336,0.00043193437,0.0010485239,0.00086626597
feature_map.backbone.conv3.1,0.0,0.0022709705,0.00073321164,0.0004238505,0.00095933676,0.00022520497,0.0009904262,0.00043192692,0.0010485221,0.0008662641
feature_map.backbone.conv3.2,0.0,0.0007221,0.00030750968,0.00012214575,0.0007119654,5.2075833e-05,0.00054709706,4.6991743e-05,0.00078851543,2.6053749e-05
feature_map.backbone.layer3,0.007844523,0.004142165,0.0069344267,0.005629733,0.005148791,0.008182995,0.0029733926,0.00070460886,0.0031690449,0.004123166
feature_map.backbone.layer3.0,3.7252903e-08,0.000519827,0.00017908588,0.00026495568,0.0005743895,0.0006218497,0.00080930255,8.6257234e-05,0.00066256337,0.00030636042
