mut_types,mut_layer_name,mut_result
GF,network.layer3.0.conv1,True
AFRM,no,AFRM No suitable ops for
LA,network.layer4.2.bn3,True
NEB,network.layer2.3.conv1,True
AFRM,no,AFRM No suitable ops for
GF,network.layer4.0.down_sample_layer.0,True
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
LC,network.layer2.2.conv2,True
NAI,network.layer4.0.down_sample_layer.0,True
GF,network.layer4.0.bn1,True
LD,network.layer3.2.bn1,True
LD,network.layer2.3.bn3,True
WS,network.layer3.3.conv3,True
NEB,network.layer2.3.conv1,True
GF,network.layer3.4.conv2,True
WS,network.layer3.1.conv3,True
NAI,network.layer3.2.bn2,True
GF,network.layer1.2.conv1,True
RA,no,False
AFRM,no,AFRM No suitable ops for
LS,"network.layer3.2.bn2,network.layer3.0.bn2",True
WS,network.layer3.3.conv3,True
LD,network.layer2.0.down_sample_layer.1,True
GF,network.layer2.3.bn2,True
NEB,network.layer3.0.bn2,True
NAI,network.layer3.3.conv1,True
