pt_ms,pt_tf,ms_tf
8.912243e-05,1.81335e-05,9.8814206e-05
7.017817e-05,1.5596062e-05,8.247459e-05
6.0751423e-05,1.6463538e-05,7.362018e-05
6.130289e-05,3.2736214e-05,8.54969e-05
6.584576e-05,1.3431257e-05,6.219787e-05
4.714545e-05,8.8941e-05,0.00010980351
7.687077e-05,7.721544e-06,7.089371e-05
5.2072985e-05,2.858023e-06,5.1479747e-05
6.681508e-05,1.7554265e-05,5.151657e-05
6.303135e-05,5.912774e-06,5.8264304e-05
7.456039e-05,5.5326072e-06,6.9986876e-05
0.00023136451,2.916531e-06,0.0002292482
0.00023436954,1.321805e-06,0.00023340153
0.00040264477,0.00035086376,0.00015127301
0.00027065573,0.0001258255,0.00022190565
0.00023742238,0.00015734838,0.00017544562
0.00018795131,0.00018156909,0.00016475643
0.00018710602,7.308904e-05,0.00024134321
9.7604076e-05,3.6586418e-05,0.00011685257
0.00025280623,2.3802644e-05,0.00026805484
8.175207e-05,1.4700044e-05,8.2389895e-05
0.00041775376,2.3194416e-05,0.00040214698
0.00040966837,2.2936325e-05,0.00039346976
0.00040966837,2.2936325e-05,0.00039346976
0.0001873963,1.1231272e-05,0.00018799244
