layer_name,0,1,2,3,4,5,6,7,8,9
layer2.1.conv1,0.010148346,7.548928e-05,0.008629516,0.007866979,0.08080993,0.0945939,0.08804852,0.101419985,0.10784118,0.10761616
layer2.1.bn1,0.015189171,0.0015833974,0.013438463,0.012501389,0.11613113,0.13626967,0.12460023,0.14348039,0.15348233,0.15297545
layer2.1.conv2,0.08202444,0.09096967,0.06874046,0.07083191,0.11769957,0.06363042,0.050357476,0.07083911,0.07977399,0.07951857
layer2.1.bn2,0.08009893,0.08940329,0.06741053,0.06883147,0.11780103,0.06595704,0.0531929,0.07513918,0.08317673,0.08313008
layer2.1.conv3,0.013216667,0.0122631565,0.018003188,0.016021512,0.017105974,0.0041988045,0.0016755611,0.0068883263,0.010326423,0.010229219
layer2.1.bn3,0.008331142,0.008488778,0.013489876,0.012000587,0.012865264,0.0033797137,0.0006309636,0.005728148,0.008292545,0.008571204
layer2.1.relu,0.0037497506,0.0051799193,0.0013405159,0.0029604882,0.043254778,0.024549402,0.018529117,0.028842874,0.033197522,0.03420178
layer2.2,0.0007814914,0.002503261,0.005791761,0.0062511936,0.050794788,0.052846946,0.04991799,0.057291582,0.05995474,0.060939863
layer2.2.conv1,0.012040645,0.0022965968,0.009145856,0.0110248625,0.09624671,0.08924492,0.0810382,0.0910001,0.09744091,0.09600301
layer2.2.bn1,0.016481757,0.0024203658,0.012328565,0.015067369,0.13866839,0.1272276,0.11385509,0.12816538,0.13851874,0.13670577
layer2.2.conv2,0.03539999,0.038547754,0.037383378,0.03376992,0.119245805,0.09807775,0.07346077,0.092929594,0.09752403,0.09947896
layer2.2.bn2,0.03477773,0.03767456,0.036927983,0.033385336,0.12217042,0.10016199,0.075805485,0.09643227,0.101226576,0.10339941
layer2.2.conv3,0.0070008524,0.00984491,0.0077759176,0.0073536783,0.034956105,0.03208311,0.028363947,0.031097487,0.03209105,0.032416362
layer2.2.bn3,0.0060698204,0.007954612,0.006912116,0.0060972907,0.026626363,0.024298193,0.021403039,0.023227155,0.02417854,0.024465002
layer2.2.relu,0.0007814914,0.002503261,0.005791761,0.0062511936,0.050794788,0.052846946,0.04991799,0.057291582,0.05995474,0.060939863
layer2.3,0.0024567246,0.0027275681,0.008423574,0.0082278475,0.053555503,0.05277746,0.050664082,0.058869995,0.061754793,0.061873205
