,layer_name,0,1,2,3,4,5,6,7,8,9
82,layer3.3.conv2,5.1538154e-06,2.249566e-06,,,,,,,,
83,layer3.3.bn2,9.364325e-06,4.782478e-05,,,,,,,,
84,layer3.3.conv3,1.9178045e-05,1.2228866e-06,,,,,,,,
85,layer3.3.bn3,9.779642e-05,1.8350613e-05,,,,,,,,
86,layer3.3.relu,2.2997698e-05,3.0581443e-05,,,,,,,,
87,layer3.4.conv1,1.4242134e-05,1.7001646e-05,,,,,,,,
88,layer3.4.bn1,2.2092456e-05,2.2710541e-05,,,,,,,,
89,layer3.4.conv2,1.6646776e-05,2.8901388e-05,,,,,,,,
90,layer3.4.bn2,3.887836e-05,6.858354e-05,,,,,,,,
91,layer3.4.conv3,1.27301e-05,1.6204254e-05,,,,,,,,
92,layer3.4.bn3,4.2355452e-05,5.8557333e-05,,,,,,,,
93,layer3.4.relu,2.980301e-05,3.5137156e-05,,,,,,,,
94,layer3.5.conv1,6.5359345e-06,2.4941579e-05,,,,,,,,
95,layer3.5.bn1,8.365001e-06,3.5288722e-05,,,,,,,,
96,layer3.5.conv2,8.76977e-06,8.1977305e-06,,,,,,,,
97,layer3.5.bn2,8.937632e-05,8.8804285e-05,,,,,,,,
98,layer3.5.conv3,1.4445596e-05,1.5162966e-05,,,,,,,,
99,layer3.5.bn3,4.6955258e-05,4.985338e-05,,,,,,,,
100,layer3.5.relu,5.762126e-05,5.8491307e-05,,,,,,,,
